TimeDK,SpotPriceDKK,Temperature,WindSpeed,SolarRadiation
2022-10-25 00:00:00,189.529999,12.8,31.6,0.0
2022-10-25 01:00:00,375.929993,12.8,28.8,0.0
2022-10-25 02:00:00,420.190002,12.7,27.0,0.0
2022-10-25 03:00:00,417.959991,12.3,25.5,0.0
2022-10-25 04:00:00,501.339996,12.2,24.0,0.0
2022-10-25 05:00:00,525.659973,11.9,21.2,0.0
2022-10-25 06:00:00,646.23999,11.9,21.4,0.0
2022-10-25 07:00:00,867.52002,11.9,22.9,0.0
2022-10-25 08:00:00,942.130005,12.2,23.9,15.0
2022-10-25 09:00:00,938.48999,12.5,23.3,92.0
2022-10-25 10:00:00,760.26001,13.3,24.7,150.0
2022-10-25 11:00:00,744.570007,14.0,24.1,213.0
2022-10-25 12:00:00,697.780029,14.3,21.4,246.0
2022-10-25 13:00:00,585.539978,13.6,22.9,250.0
2022-10-25 14:00:00,594.909973,13.9,18.6,242.0
2022-10-25 15:00:00,685.140015,13.8,18.9,199.0
2022-10-25 16:00:00,859.859985,12.6,19.3,74.0
2022-10-25 17:00:00,1135.300049,12.2,17.0,14.0
2022-10-25 18:00:00,1328.099976,11.8,16.4,0.0
2022-10-25 19:00:00,1374.369995,11.5,17.6,0.0
2022-10-25 20:00:00,1135.819946,11.3,16.6,0.0
2022-10-25 21:00:00,970.169983,11.0,15.5,0.0
2022-10-25 22:00:00,897.570007,11.2,18.9,0.0
2022-10-25 23:00:00,835.539978,11.2,18.3,0.0
2022-10-26 00:00:00,726.039978,11.1,18.3,0.0
2022-10-26 01:00:00,679.849976,11.2,18.3,0.0
2022-10-26 02:00:00,656.340027,11.2,17.7,0.0
2022-10-26 03:00:00,659.76001,11.1,14.9,0.0
2022-10-26 04:00:00,718.080017,11.1,13.8,0.0
2022-10-26 05:00:00,799.76001,11.2,11.8,0.0
2022-10-26 06:00:00,952.47998,11.2,11.5,0.0
2022-10-26 07:00:00,1152.890015,11.2,8.4,0.0
